Model Name;Maximum Empty Rows (%);Maximum Empty Column (%);Mean Maximum Empty Row or Column
restart_7b-gsm8k-rosa_wl64_d0.006_8grads_mean_r16_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-903;94.425;88.90806686046511;41.137765624999986
restart_7b-gsm8k-rosa_wl64_d0.003_8grads_mean_r8_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-19023;95.075;96.484375;58.53463061208011
restart_7b-gsm8k-rosa_wl64_d0.012_8grads_mean_squared_r32_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-25927;93.58125000000001;83.15770348837209;27.22005658510982
restart_7b-gsm8k-rosa_wl64_d0.012_32grads_mean_r32_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-9349;89.62187499999999;84.79287790697676;25.838814740794568
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0004_alpha16-lr0.0004-epochs1-wu20-seed42-10780;96.975;94.13154069767442;51.08231167231912
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0007_alpha16-lr0.0002-epochs3-wu20-seed42-26590;97.478125;93.64098837209302;42.155569363695086
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0003_alpha16-lr0.0003-epochs3-wu20-seed42-16868;96.375;85.19258720930233;26.785510436854008
restart_7b-viggo-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-32176;95.271875;92.19658430232558;37.95254322109174
restart_7b-gsm8k-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0007_alpha16-lr0.0004-epochs3-wu20-seed42-26508;98.1875;98.9990234375;73.77852137839147
restart_7b-gsm8k-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-30673;94.915625;79.97819767441861;19.99197046592377
restart_7b-gsm8k-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0007_alpha16-lr0.0003-epochs3-wu20-seed42-31123;98.1875;98.9990234375;73.77852137839147
